,level_0_x,index_x,job,sex_x,year_x,count_x,perc_x,together_x,level_0_y,index_y,sex_y,year_y,count_y,perc_y,together_y
32,2646,5286,Professional - Misc,men,1920,9086,0.000216392774367,0.00029091324443,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
33,2642,5282,Professional - Misc,men,1870,3814,0.00029050107932400003,0.00030573448673400005,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
34,2645,5285,Professional - Misc,men,1910,11587,0.000297645178895,0.0005694226875430001,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
35,2644,5284,Professional - Misc,men,1900,9149,0.000308153269353,0.000372451508635,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
36,2647,5287,Professional - Misc,men,1930,31847,0.0006535375534040001,0.000705415059448,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
37,2640,5280,Professional - Misc,men,1850,7076,0.001308867112253,0.001364913852644,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
38,2649,5289,Professional - Misc,men,1950,98096,0.001614990435524,0.0019327334159270002,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
39,2648,5288,Professional - Misc,men,1940,133278,0.002561497769889,0.003282737035263,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
40,2650,5290,Professional - Misc,men,1960,263832,0.0030357792809230003,0.004120196571287,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
41,2652,5292,Professional - Misc,men,1980,634581,0.004938264476306,0.009457619916533001,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
42,2653,5293,Professional - Misc,men,1990,1190777,0.00798505657788,0.014772572941342,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
43,2651,5291,Professional - Misc,men,1970,907129,0.008302342937616001,0.015303700630690002,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
44,2654,5294,Professional - Misc,men,2000,2833825,0.016855730064639002,0.032273977274157005,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
45,720,1440,Clerical Worker,men,1850,2929,0.000541785157121,0.000541785157121,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
46,721,1441,Clerical Worker,men,1860,8431,0.000999592859461,0.0010114490195770002,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
47,722,1442,Clerical Worker,men,1870,62494,0.0047599828136690005,0.00493577633519,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
48,723,1443,Clerical Worker,men,1880,98934,0.005404078802955001,0.005665614061900001,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
49,724,1444,Clerical Worker,men,1900,245106,0.008255570580183001,0.009548945325309002,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
50,725,1445,Clerical Worker,men,1910,525693,0.013503925695104,0.016616189174818,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
51,733,1453,Clerical Worker,men,1990,2983145,0.020004233878402,0.070700344362551,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
52,726,1446,Clerical Worker,men,1920,850683,0.020259922350575003,0.030204058672021004,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
53,732,1452,Clerical Worker,men,1980,2718238,0.021153135933075003,0.07076155002895601,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
54,727,1447,Clerical Worker,men,1930,1078763,0.022137473913494,0.03228317911267,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
55,734,1454,Clerical Worker,men,2000,3739906,0.022245144284888,0.077234762470876,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
56,731,1451,Clerical Worker,men,1970,2474020,0.02264304467669,0.069373582029687,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
57,730,1450,Clerical Worker,men,1960,2030615,0.023365243581267,0.066645786996712,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
58,728,1448,Clerical Worker,men,1940,1329366,0.025549363318528,0.039880531857789,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
59,729,1449,Clerical Worker,men,1950,1584096,0.02607955358988,0.051417794696776,734,1454,men,2000,3739906,0.022245144284888,0.077234762470876
60,1940,3875,Mechanic,men,1910,40551,0.001041668218641,0.001048141558166,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
61,1939,3874,Mechanic,men,1900,44014,0.0014824634383330002,0.0014960034551960001,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
62,1938,3873,Mechanic,men,1880,30222,0.0016508184201880001,0.0016508184201880001,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
63,1937,3872,Mechanic,men,1870,29052,0.0022128047605000003,0.0022128047605000003,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
64,1941,3876,Mechanic,men,1920,119593,0.002848234763915,0.002879481442318,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
65,1942,3877,Mechanic,men,1930,211814,0.004346670120789001,0.004388143395993001,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
66,1936,3871,Mechanic,men,1860,39053,0.004630186210479,0.0046538985307120005,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
67,1935,3870,Mechanic,men,1850,29113,0.005385111396133,0.0054037936429300005,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
68,1943,3878,Mechanic,men,1940,429926,0.008262837754299,0.008444574596929,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
69,1946,3881,Mechanic,men,1970,1218050,0.011147994182926,0.01148631917202,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
70,1948,3883,Mechanic,men,1990,1821648,0.012215521751749002,0.012738637552306002,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
71,1947,3882,Mechanic,men,1980,1700996,0.013237030609394,0.013749750803169002,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
72,1949,3884,Mechanic,men,2000,2232570,0.013279435840396,0.013817775914663,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
73,1944,3879,Mechanic,men,1950,858091,0.014127066932492001,0.014336596202522001,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
74,1945,3880,Mechanic,men,1960,1414733,0.016278605815212,0.016647791426617,1949,3884,men,2000,2232570,0.013279435840396,0.013817775914663
75,3690,7380,Truck / Tractor Driver,men,1850,31753,0.005873439431231001,0.0059108039248250005,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
76,3696,7386,Truck / Tractor Driver,men,1920,296383,0.007058677046597001,0.0071091671062110005,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
77,3691,7381,Truck / Tractor Driver,men,1860,63194,0.007492381824316,0.0075160941445490004,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
78,3693,7383,Truck / Tractor Driver,men,1880,157797,0.008619356569732001,0.008630226560653001,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
79,3692,7382,Truck / Tractor Driver,men,1870,118214,0.009004010118333001,0.009011626822038002,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
80,3695,7385,Truck / Tractor Driver,men,1910,430738,0.011064735398907,0.011122995454636,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
81,3701,7391,Truck / Tractor Driver,men,1970,1582606,0.014484530587302001,0.014742992354656,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
82,3694,7384,Truck / Tractor Driver,men,1900,435202,0.014658314474705001,0.014715707979020002,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
83,3697,7387,Truck / Tractor Driver,men,1930,752249,0.015437026125249002,0.015478540442783002,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
84,3702,7392,Truck / Tractor Driver,men,1980,2084404,0.016220684557955,0.016690487411647,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
85,3700,7390,Truck / Tractor Driver,men,1960,1787785,0.020571123524615,0.020704000427856,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
86,3703,7393,Truck / Tractor Driver,men,1990,3150279,0.021124993219645002,0.022691564439527002,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
87,3704,7394,Truck / Tractor Driver,men,2000,3681627,0.021898497935012,0.023418480230287003,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
88,3699,7389,Truck / Tractor Driver,men,1950,1406612,0.023157569386053,0.023244924010613,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
89,3698,7388,Truck / Tractor Driver,men,1940,1314002,0.025254079387672,0.025431933950034,3704,7394,men,2000,3681627,0.021898497935012,0.023418480230287003
90,3092,6182,Salesman,men,1870,218916,0.016674183083773,0.017654300516587,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
91,3090,6180,Salesman,men,1850,104351,0.019302090450930003,0.019377004410859003,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
92,3091,6181,Salesman,men,1860,166761,0.019771451172657002,0.020318731523656004,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
93,3093,6183,Salesman,men,1880,362213,0.019785186037709002,0.021555956719519,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
94,3102,6192,Salesman,men,1980,3004021,0.023377079033849002,0.048119746584895005,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
95,3103,6193,Salesman,men,1990,3500491,0.023473428429808003,0.046180925738738006,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
96,3104,6194,Salesman,men,2000,4087696,0.024313816259756003,0.04719185675446601,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
97,3101,6191,Salesman,men,1970,3021401,0.027652855607148003,0.059760561531252004,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
98,3095,6185,Salesman,men,1910,1078646,0.027708102324591,0.03687681712677,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
99,3094,6184,Salesman,men,1900,829630,0.027943294005197003,0.034740517196982006,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
100,3096,6186,Salesman,men,1920,1178007,0.028055492290822003,0.040069292367285,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
101,3100,6190,Salesman,men,1960,2558950,0.029444522995390004,0.066308934611675,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
102,3098,6188,Salesman,men,1940,1832034,0.0352102447918,0.051494527032268006,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
103,3099,6189,Salesman,men,1950,2171684,0.035753230396571,0.057906254526911005,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
