,job,sex,year_x,count_x,perc,year_y,count_y,std
46,Apprentice - Bricklayer,women,1860,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
47,Apprentice - Bricklayer,women,1870,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
48,Apprentice - Bricklayer,women,1880,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
49,Apprentice - Bricklayer,women,1900,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
50,Apprentice - Bricklayer,women,1910,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
51,Apprentice - Bricklayer,women,1920,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
52,Apprentice - Bricklayer,women,1930,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
53,Apprentice - Bricklayer,women,1940,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
54,Apprentice - Bricklayer,women,1950,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
55,Apprentice - Bricklayer,women,1960,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
56,Apprentice - Bricklayer,women,1970,200,1.8304657740000002e-06,47.483814544307265,1885.156815026638,5.6240753518110684e-05
57,Apprentice - Bricklayer,women,1980,140,1.0894701010000002e-06,47.483814544307265,1885.156815026638,5.6240753518110684e-05
58,Apprentice - Bricklayer,women,1990,53,3.554049151332962e-07,47.483814544307265,1885.156815026638,5.6240753518110684e-05
59,Apprentice - Bricklayer,women,2000,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
60,Apprentice - Mechanic,men,1850,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
61,Apprentice - Mechanic,men,1860,1003,0.00011891728597300001,47.483814544307265,1507.68828754945,3.5034799159481304e-05
62,Apprentice - Mechanic,men,1870,1710,0.000130245633362,47.483814544307265,1507.68828754945,3.5034799159481304e-05
63,Apprentice - Mechanic,men,1880,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
64,Apprentice - Mechanic,men,1900,504,1.6975543529000002e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05
65,Apprentice - Mechanic,men,1910,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
66,Apprentice - Mechanic,men,1920,1313,3.1270494468e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05
67,Apprentice - Mechanic,men,1930,1011,2.0746898184000002e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05
68,Apprentice - Mechanic,men,1940,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
69,Apprentice - Mechanic,men,1950,4726,7.7805871781e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05
70,Apprentice - Mechanic,men,1960,4784,5.5047030231000005e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05
71,Apprentice - Mechanic,men,1970,5309,4.8589713983000006e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05
72,Apprentice - Mechanic,men,1980,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
73,Apprentice - Mechanic,men,1990,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
74,Apprentice - Mechanic,men,2000,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
75,Apprentice - Mechanic,women,1850,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
76,Apprentice - Mechanic,women,1860,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
77,Apprentice - Mechanic,women,1870,101,7.692870742000001e-06,47.483814544307265,1507.68828754945,3.5034799159481304e-05
78,Apprentice - Mechanic,women,1880,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
79,Apprentice - Mechanic,women,1900,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
80,Apprentice - Mechanic,women,1910,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05
